S.no,Area of exposure (AE) sq. m ,Depth of cover (DOC) m,RMR,Gallery Width,Inter-sectional Span (IS) m,Roof Fall Rate
621,2200,379,64,6,7.1,1600
622,1100,380,64,6.2,7.1,600
623,1950,380,64,6,7.1,1500
624,3200,385,64,6.2,7.2,2500
625,2100,370,64,6.1,7.1,1600
626,3150,396,64,6,7.2,1500
627,1800,397,64,6.3,7.1,1800
628,2500,370,64,6.1,7.2,1750
629,3500,385,64,6.3,7.2,2250
630,3500,376,64,6.1,7.2,2200
631,1900,397,64,6.3,7.1,600
632,2500,370,64,6.2,7.1,2500
633,3800,385,64,6.3,7.2,1600
634,2100,396,64,6,7.1,1500
635,2400,370,64,6.3,7.1,2000
636,3950,396,64,6.1,7.2,3000
637,2700,380,64,6.2,7.1,2500
638,1500,376,64,6.2,7.1,500
639,2150,397,64,6.2,7.1,1500
640,3150,396,64,6.3,7.1,2150
641,2600,376,64,6.1,7.1,2000
642,5350,379,64,6,7.1,4000
643,2750,376,64,6.13,7.2,1600
644,3850,385,64,6.2,7.2,1500
645,3550,376,64,6.1,7.2,2000
646,5150,380,64,6.2,7.1,4500
647,5250,379,64,6,7.1,4000
648,1550,397,64,6.2,7.1,1000
649,2950,376,64,6.3,7.2,1500
650,1350,385,64,6.2,7.1,500
651,3300,380,64,6,7.2,2000
652,2000,370,64,6.2,7.1,1000
653,3000,380,64,6,7.2,1500
654,3000,385,64,6.3,7.2,2000
655,5000,379,64,6,7.1,3300
656,6000,397,64,6.1,7.2,3000
657,5450,380,64,6.2,7.1,4200
658,5200,396,64,6,7.1,3500
659,3450,385,64,6.1,7.1,1450
660,3550,376,64,6.1,7.2,1600
661,2350,397,64,6.3,7.1,1700
662,3350,380,64,6.2,7.1,2000
663,3050,380,64,6,7.1,1000
664,2050,370,64,6.2,7.2,2050
665,5050,396,64,6.2,7.1,4500
666,6050,397,64,6.1,7.2,3500
667,1400,385,64,6.3,7.2,1400
668,2600,376,64,6.3,7.1,2600
669,5600,379,64,6,7.1,3500
670,5450,380,64,6.2,7.1,4000
671,5300,379,64,6,7.1,4500
672,2300,370,64,6.2,7.1,1500
673,3300,396,64,6,7.2,1750
674,5000,379,64,6.2,7.1,2500
675,3500,385,64,6.1,7.2,2000
676,2600,370,64,6.3,7.1,2600
677,2700,376,64,6.3,7.1,1600
678,2850,397,64,6.13,7.2,1800
679,3750,376,64,6.3,7.2,2000
680,3600,396,64,6,7.1,2500
681,1900,397,64,6.3,7.1,1000
682,1250,376,64,6.2,7.1,500
683,3100,380,64,6.3,7.2,1300
